property_id,airbnb_property_id,vrbo_property_id,listing_type,bedrooms,bathrooms,accommodates,rating,reviews,title,revenue_ltm,revenue_potential_ltm,occupancy_rate_ltm,average_daily_rate_ltm,days_available_ltm,market_id,market_name,currency,address_match_confidence,lat,lng,submarket
abnb_1312412384816369942,1312412384816369942,,entire_place,4.0,4.5,8.0,,,"Family home, exclusive access to the garden",50063337.15,105816073.41,53.27,878304.15,107.0,84832,Santo Domingo City,cop,Low,18.468248137,-69.888097805,141879
abnb_714480960176268528,714480960176268528,,entire_place,2.0,2.5,4.0,5.0,1.0,LIGHT & DElight in zone coloniale,48973807.5,69843362.76,40.93,462017.07,259.0,84832,Santo Domingo City,cop,Low,18.46984,-69.88878,141879
abnb_48809544,48809544,,entire_place,4.0,2.0,8.0,4.8,122.0,Colonial Tere’s House,48265796.65,50109156.09,50.0,274237.49,352.0,84832,Santo Domingo City,cop,Low,18.47334,-69.88731,141879
abnb_1261907163256841168,1261907163256841168,,entire_place,2.0,2.0,4.0,4.9,55.0,Cozy apt. Colonial Zone,47935636.15,48961151.35,55.46,242099.17,357.0,84832,Santo Domingo City,cop,Medium,18.4706,-69.8908,141879
abnb_928866772860518542,928866772860518542,4900978,entire_place,2.0,3.0,6.0,5.0,9.0,Vibrant Heart of Dominican History:Tropical Escape,47594470.3,83684351.24,82.17,449004.43,129.0,84832,Santo Domingo City,cop,Medium,18.477,-69.8842,141879
abnb_50432818,50432818,11490433ha,entire_place,2.0,1.0,4.0,4.6,111.0,Colonial area-near the boardwalk-street conde,47245967.55,49267466.92,68.86,196041.36,350.0,84832,Santo Domingo City,cop,Medium,18.4695,-69.8894,141879
abnb_930723270482516749,930723270482516749,,entire_place,2.0,1.0,4.0,4.8,61.0,• Vista Colonial • 2 Bedroom Fully Equipped Suite,47183603.9,48690162.95,65.16,205146.1,353.0,84832,Santo Domingo City,cop,Medium,18.478,-69.8847,141879
abnb_925190605412783092,925190605412783092,,entire_place,2.0,2.0,4.0,4.8,228.0,Spacious 2BR Apt. Zona Colonial,47022192.1,48567526.66,54.52,243638.29,354.0,84832,Santo Domingo City,cop,Medium,18.4683,-69.8887,141879
abnb_980416138535621121,980416138535621121,,entire_place,2.0,2.0,4.0,4.9,20.0,Chalet Montesinos: Sea view apartment!,45862961.9,46723837.06,59.52,305753.07,252.0,84832,Santo Domingo City,cop,Medium,18.4699,-69.8849,141879
abnb_1352034340770343974,1352034340770343974,,entire_place,2.0,1.0,4.0,4.8,32.0,The Bloom House,45503453.8,53673091.95,71.59,234553.89,271.0,84832,Santo Domingo City,cop,Medium,18.4735,-69.8875,141879
abnb_25179964,25179964,,entire_place,3.0,3.0,6.0,4.8,48.0,In the area.,45499785.35,47877784.69,49.6,363998.28,252.0,84832,Santo Domingo City,cop,Low,18.47121,-69.88347,141879
abnb_1461049057818028335,1461049057818028335,,entire_place,3.0,3.0,6.0,4.9,30.0,Zona Loft • Walk Everywhere,45294352.15,60604664.91,88.27,316743.73,162.0,84832,Santo Domingo City,cop,Medium,18.474572127,-69.88458276,141879
abnb_1405042232686168929,1405042232686168929,4545693,entire_place,3.0,3.0,8.0,5.0,1.0,Zona Loft,44733079.3,45276303.38,55.23,470874.54,172.0,84832,Santo Domingo City,cop,High,18.47486,-69.88405,141879
abnb_1271215824596630169,1271215824596630169,4605587,entire_place,2.0,1.0,4.0,5.0,14.0,Casa La María Colonial Zone TwoBedRoom 3B,44399250.35,49121756.09,60.5,308328.14,238.0,84832,Santo Domingo City,cop,Medium,18.4696,-69.8869,141879
abnb_1100974543485432739,1100974543485432739,,entire_place,2.0,1.0,4.0,4.0,1.0,Apartment in the colonial area,44168138.0,44928644.37,63.51,193719.91,359.0,84832,Santo Domingo City,cop,Medium,18.4694,-69.8894,141879
abnb_971059278970072693,971059278970072693,,entire_place,2.0,1.5,4.0,4.4,11.0,Colonial-style house,43617870.5,43970481.91,95.58,126063.21,362.0,84832,Santo Domingo City,cop,Medium,18.4687,-69.889,141879
abnb_1063812216349680758,1063812216349680758,,entire_place,2.0,2.0,4.0,4.8,129.0,Ocean View Apartment-Tia's House,43416105.75,43796047.12,44.75,268000.67,362.0,84832,Santo Domingo City,cop,Medium,18.4682,-69.8894,141879
abnb_1387571999312307772,1387571999312307772,,entire_place,2.0,1.0,4.0,5.0,3.0,SDQ Colonial escape 2 Bed+ 2 rooms+ balcony,43133635.1,44772625.19,65.2,223490.34,296.0,84832,Santo Domingo City,cop,Low,18.47013,-69.88827,141879
abnb_1018711568244283266,1018711568244283266,3739716,entire_place,2.0,1.0,5.0,4.8,35.0,"Casa De Leon- Colonial Zone, DR",43056597.65,43056597.65,46.15,265781.46,351.0,84832,Santo Domingo City,cop,High,18.46899,-69.88883,141879
abnb_37987997,37987997,,entire_place,2.0,1.0,4.0,4.8,345.0,Santa Barbara Ranch,42491656.35,43701547.84,56.62,211401.27,355.0,84832,Santo Domingo City,cop,Low,18.47818,-69.88458,141879
